"","Ysi","Median","Lower25","Upper75"
"1",2,-6.89760359214944,-29.0055987052836,24.8079373033837
"2",3,3.58993791980124,-17.3698902744499,33.0760764404065
"3",4,11.0309670410473,-9.1142237599001,38.942414516589
"4",5,16.8026776290459,-2.71063131904256,43.492699838065
"5",6,21.518508552998,2.52148467093362,47.2105536536117
"6",7,25.5056867872162,6.94517570874861,50.3539542653813
"7",8,28.9595376742441,10.7771511854834,53.0768917297943
"8",9,32.0060500649487,14.1571931017673,55.4786927906345
"9",10,34.7312482622427,17.180743626341,57.6271770512703
"10",11,37.1964899001068,19.9158777735624,59.5707174744492
"11",12,39.4470791861948,22.4128596163172,61.345030866817
"12",13,41.5174206352332,24.7098602456667,62.9772409650835
"13",14,43.434257420413,26.8365506541322,64.4884314785866
"14",15,45.2187897741934,28.8164520571747,65.8953161882931
"15",16,46.8881083074409,30.668526130867,67.2113689429996
"16",17,48.4561920345777,32.4082822999661,68.4476104796547
"17",18,49.9346206981455,34.0485680471509,69.6131700038398
"18",19,51.3330942441271,35.60014526005,70.7156947322946
"19",20,52.6598188954395,37.0721185717245,71.7616542644756
"20",21,53.9217989323637,38.4722590849659,72.7565706156094
"21",22,55.1250605333036,39.8072527189459,73.7051946876545
"22",23,56.2748258174637,41.0828933059355,74.6116434805886
"23",24,57.3756498193916,42.3042345617007,75.4795080800223
"24",25,58.431529483438,43.4757110125821,76.3119395859516
"25",26,59.4459912684299,44.6012351910502,77.1117181782888
"26",27,60.4221622100962,45.6842764779846,77.8813091408626
"27",28,61.3628280536098,46.7279255995157,78.6229086917919
"28",29,62.2704811805261,47.7349478009628,79.3384817679935
"29",30,63.1473604073901,48.7078270025582,80.0297934014984
"30",31,63.9954842561478,49.6488027122739,80.6984349490874
"31",32,64.8166789406377,50.5599010762505,81.3458461562049
"32",33,65.6126020452543,51.4429611497796,81.9733338246773
"33",34,66.3847626677745,52.2996572453496,82.58208769286
"34",35,67.1345386416083,53.1315180403732,83.1731940132679
"35",36,67.8631913313423,53.9399429925344,83.7476472170451
"36",37,68.5718784006771,54.7262165055485,84.3063599799164
"37",38,69.2616648773239,55.4915202054335,84.8501719454999
"38",39,69.9335327803806,56.2369436218839,85.3798573153116
"39",40,70.5883895286363,56.9634935171081,85.8961314776809
"40",41,71.2270753104741,57.6721020625824,86.3996568180151
"41",42,71.8503695655604,58.3636340303494,86.8910478288147
"42",43,72.4589967037566,59.0388931380319,87.3708756183342
"43",44,73.0536311665004,59.6986276643295,87.8396719008598
"44",45,73.6349019193408,60.3435354333919,88.2979325385211
"45",46,74.2033964506605,60.974268251319,88.7461206937939
"46",47,74.7596643403237,61.5914358655001,89.1846696429401
